"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSB:Dn1okZrlXBCAWFF",93.1064459030346,-6.67378447599206,1.32286197733519,-5.04495902848152,4.53618559960747e-07,0.000991156553514232
"ENSB:lbmqEoI-28se-5N",113.25541908276,-3.48673662573812,0.78779386343695,-4.42595047710368,9.60185524553186e-06,0.0104900268557436
"ENSB:NsLmBexHpgWf3TV",16.0448055565817,-6.61983809931382,1.70032676218606,-3.89327407327454,9.89003087461678e-05,0.0720323915367922
"ENSB:BJrAQPqrSGz195X",56.038877566059,2.12910104455496,0.593946745486125,3.58466657277895,0.00033750910421974,0.184364348180033
"ENSB:7FiTmNSpfzVFgfE",6.5918659216713,-6.3794478368615,1.83746375537496,-3.47187682924374,0.000516833407263879,0.188213499145263
"ENSB:SwdFt16pU3Ab_md",48.3469472891052,-5.55046296558224,1.59315297811601,-3.48394852335271,0.000494074504745465,0.188213499145263
"ENSB:Oow5r2zYi4nCcon",24.9717513117001,-6.24456600299775,1.85984370950198,-3.35757567751211,0.000786292160137349,0.245435481414301
"ENSB:eYZT_M0ejKW4b_1",12.6211227845729,-5.28946885519076,1.60580343550447,-3.29397031930564,0.000987829286802782,0.26980087395801
"ENSB:j2ST-n5hmLQfckb",12.206122173294,-4.5215540932285,1.47507191054219,-3.06531095935962,0.00217443789784573,0.527905200754768
"ENSB:HCz7y8WCMxHzAlH",360.917185960562,-1.50252923956727,0.495844640532451,-3.03024196843958,0.00244357884702238,0.533921978074391
"ENSB:j7JO8gR-nNp3jzV",46.8464454912898,2.46451990118682,0.872519359598358,2.82460196908559,0.00473393826044202,0.752279994968948
"ENSB:TSX5p6lfw09Fv6C",47.6572828295439,2.74337282818349,1.01846154770765,2.69364399113374,0.0070675610241916,0.752279994968948
"ENSB:mzZ17FPrmqXpOuJ",66.7438765488896,-2.0678503316101,0.778456718298232,-2.65634592521802,0.00789925382236671,0.752279994968948
