"","SRR20959676_C","SRR20959677_C","SRR20959678_C","SRR20959679_C","SRR20959680_A","SRR20959681_A","SRR20959682_A"
"ENSB:75DyHA6VXRvdHWz",182.613959416086,213.284012205215,85.3017429579978,118.746329448426,100.034693160675,200.374411505593,352.050583509214
"ENSB:V14rNC10d9qaZtN",226.205678760571,240.885472608243,75.0655338030381,193.112717587844,174.372400922277,121.439037276117,252.781536799667
"ENSB:o4B9a-9PYtxIfVb",28.2757098450714,70.258262844071,81.8896732396779,39.582109816142,82.5974530684471,36.431711182835,74.45178503216
"ENSB:dM6NDMnepYc9b51",946.647202521453,2602.06494890363,768.853043194753,1278.62209284871,2010.78910747742,1090.52255473953,1532.64317473347
"ENSB:fvXZUiz6MyN8GBS",2074.73020988211,3056.23443371709,2339.54247019469,1477.73209980264,2423.77637281965,1962.45484238205,3137.25640833135
"ENSB:r6-2P3sRp1B99FZ",3520.91495299983,3811.51075929085,1451.26698685874,2816.32708631217,3736.15812712943,2918.18006574509,2676.00987344164
"ENSB:ClfqJ8Mtf5PIcHD",55.3732651132648,82.8043812090837,47.7689760564788,80.3636775055005,20.1904885278426,40.0748823011185,26.2353909160945
"ENSB:IDak-BhcjnguwWP",141.378549225357,65.2398154980659,65.9666812208516,376.629772189957,114.718684817288,98.3656201936546,116.995662193394
"ENSB:03U0SoaBRWBk0x_",1098.04006565027,306.125288106309,222.921888263568,453.395076075809,899.394488967535,208.875144114921,219.810031999711
"ENSB:j7JO8gR-nNp3jzV",22.3849369606815,0,22.7471314554661,16.79241022503,58.7359666264513,144.512454358579,62.7522188128206
"ENSB:TSX5p6lfw09Fv6C",4.12354101907291,5.01844734600507,40.9448366198389,4.7978314928657,42.2164760127619,185.801727032459,50.6981202838042
"ENSB:EKIa8SrRXiRuiC9",74.2237383433124,55.2029208060558,4.54942629109322,40.7815676893585,40.3809770556853,157.870748458952,30.8443109418949
"ENSB:dlNWp33yFGHdhxv",112.513762091847,90.3320522280913,104.636804695144,107.951208589478,100.952442639213,133.582941003728,70.9064619353905
"ENSB:fq_-Ja7JXH_P7K-",490.112303981237,441.623366448446,833.682367842832,754.459002253131,600.208158964049,510.04395655969,498.826959715472
"ENSB:8G9qcMOk91nhMBT",86.0052841120921,228.339354243231,209.273609390288,107.951208589478,89.0216994182152,24.2878074552233,155.285151638505
"ENSB:U9cEE_VbnOdDYxU",983.759071693109,702.58262844071,783.638678640806,889.997741926587,1175.63708200756,715.275929556328,1322.05098278536
"ENSB:4lM9dp-by3NtGGS",44.180796632924,20.0737893840203,244.53166314626,50.3772306750899,20.1904885278426,128.725379512684,197.119964180386
"ENSB:8MJauefFEsNHsDf",54.1951105363868,920.88508799193,211.548322535835,307.061215543405,706.667098474492,412.892726738797,741.327059534508
"ENSB:fwwrG7-Q91Wrvqg",1049.73572799828,1603.39392704862,1182.85083568424,3273.32053600762,1824.48596333414,1645.49895509138,1977.22669106836
"ENSB:sDTTVM5lCclLh6r",1257.68001081724,4255.6433494123,2672.78794601726,4862.60221801939,2647.707245583,2319.48561197383,2840.86739744142
