Geneid	Chr	Start	End	Strand	Length	SRR20959676_C	SRR20959677_C	SRR20959678_C	SRR20959679_C	SRR20959680_A	SRR20959681_A	SRR20959682_A
ENSB:75DyHA6VXRvdHWz	Chromosome	544	1905	+	1362	310	85	75	99	109	165	993
ENSB:V14rNC10d9qaZtN	Chromosome	2183	3316	+	1134	384	96	66	161	190	100	713
ENSB:o4B9a-9PYtxIfVb	Chromosome	3706	3942	+	237	48	28	72	33	90	30	210
ENSB:dM6NDMnepYc9b51	Chromosome	3939	5051	+	1113	1607	1037	676	1066	2191	898	4323
ENSB:fvXZUiz6MyN8GBS	Chromosome	5061	6995	+	1935	3522	1218	2057	1232	2641	1616	8849
ENSB:r6-2P3sRp1B99FZ	Chromosome	7032	9695	+	2664	5977	1519	1276	2348	4071	2403	7548
ENSB:ClfqJ8Mtf5PIcHD	Chromosome	9782	10594	-	813	94	33	42	67	22	33	74
ENSB:IDak-BhcjnguwWP	Chromosome	10920	12434	+	1515	240	26	58	314	125	81	330
ENSB:03U0SoaBRWBk0x_	Chromosome	12813	14099	+	1287	1864	122	196	378	980	172	620
ENSB:j7JO8gR-nNp3jzV	Chromosome	14749	15444	+	696	38	0	20	14	64	119	177
ENSB:TSX5p6lfw09Fv6C	Chromosome	15441	15770	+	330	7	2	36	4	46	153	143
ENSB:EKIa8SrRXiRuiC9	Chromosome	16133	17101	+	969	126	22	4	34	44	130	87
ENSB:dlNWp33yFGHdhxv	Chromosome	17407	18330	+	924	191	36	92	90	110	110	200
ENSB:fq_-Ja7JXH_P7K-	Chromosome	18345	20312	+	1968	832	176	733	629	654	420	1407
ENSB:8G9qcMOk91nhMBT	Chromosome	20309	20755	+	447	146	91	184	90	97	20	438
ENSB:U9cEE_VbnOdDYxU	Chromosome	20787	22187	+	1401	1670	280	689	742	1281	589	3729
ENSB:4lM9dp-by3NtGGS	Chromosome	22465	23748	+	1284	75	8	215	42	22	106	556
ENSB:8MJauefFEsNHsDf	Chromosome	24952	25653	+	702	92	367	186	256	770	340	2091
ENSB:fwwrG7-Q91Wrvqg	Chromosome	25666	27492	+	1827	1782	639	1040	2729	1988	1355	5577
ENSB:sDTTVM5lCclLh6r	Chromosome	27485	28819	+	1335	2135	1696	2350	4054	2885	1910	8013
ENSB:b9S3V9IXTdyejdz	Chromosome	28820	29608	+	789	950	557	989	820	1057	1117	3692
ENSB:89Jdc8eoyDaSNFo	Chromosome	29998	30798	+	801	116	28	36	10	19	0	63
ENSB:0C__lN4uWdKHn_f	Chromosome	31026	33344	+	2319	96	6	36	18	18	12	29
ENSB:0zQHc-B93qA0LyK	Chromosome	33712	34191	+	480	2	1	0	7	7	17	1
